date,supply,supply_change
2019-11-19,1827422.0,
2019-11-20,7446885.0,5619463.0
2019-11-21,9798854.0,2351969.0
2019-11-22,13541055.0,3742201.0
2019-11-23,15682080.0,2141025.0
2019-11-24,18165767.0,2483687.0
2019-11-25,18273066.0,107299.0
2019-11-26,20086232.0,1813166.0
2019-11-27,20293699.0,207467.0
2019-11-28,20341826.0,48127.0
2019-11-29,21845899.0,1504073.0
2019-11-30,22943597.0,1097698.0
2019-12-01,23613208.0,669611.0
2019-12-02,25862181.0,2248973.0
2019-12-03,42784377.0,16922196.0
2019-12-04,49049831.0,6265454.0
2019-12-05,49841970.0,792139.0
2019-12-06,51021507.0,1179537.0
2019-12-07,53645809.0,2624302.0
2019-12-08,54241123.0,595314.0
2019-12-09,56471664.0,2230541.0
2019-12-10,58127495.0,1655831.0
2019-12-11,58851472.0,723977.0
2019-12-12,60863245.0,2011773.0
2019-12-13,61349714.0,486469.0
2019-12-14,62080164.0,730450.0
2019-12-15,62563339.0,483175.0
2019-12-16,63003778.0,440439.0
2019-12-17,65599243.0,2595465.0
2019-12-18,64959742.0,-639501.0
2019-12-19,65556883.0,597141.0
2019-12-20,67957073.0,2400190.0
2019-12-21,68785662.0,828589.0
2019-12-22,69045359.0,259697.0
2019-12-23,69398112.0,352753.0
2019-12-24,69072165.0,-325947.0
2019-12-25,69188181.0,116016.0
2019-12-26,69352681.0,164500.0
2019-12-27,68928333.0,-424348.0
2019-12-28,69996894.0,1068561.0
2019-12-29,70295449.0,298555.0
2019-12-30,70770760.0,475311.0
2019-12-31,70767364.0,-3396.0
2020-01-01,71149777.0,382413.0
2020-01-02,72281645.0,1131868.0
2020-01-03,72614968.0,333323.0
2020-01-04,73383340.0,768372.0
2020-01-05,73547676.0,164336.0
2020-01-06,74106275.0,558599.0
2020-01-07,77855756.0,3749481.0
2020-01-08,80886456.0,3030700.0
2020-01-09,81729630.0,843174.0
2020-01-10,81784497.0,54867.0
2020-01-11,83329194.0,1544697.0
2020-01-12,83101741.0,-227453.0
2020-01-13,84458742.0,1357001.0
2020-01-14,85495814.0,1037072.0
2020-01-15,87284469.0,1788655.0
2020-01-16,87663675.0,379206.0
2020-01-17,89222339.0,1558664.0
2020-01-18,94452683.0,5230344.0
2020-01-19,95750977.0,1298294.0
2020-01-20,96638682.0,887705.0
2020-01-21,97204216.0,565534.0
2020-01-22,98675240.0,1471024.0
2020-01-23,99973323.0,1298083.0
2020-01-24,100642563.0,669240.0
2020-01-25,101217363.0,574800.0
2020-01-26,101589118.0,371755.0
2020-01-27,102572368.0,983250.0
2020-01-28,103533895.0,961527.0
2020-01-29,105889812.0,2355917.0
2020-01-30,105739484.0,-150328.0
2020-01-31,107294604.0,1555120.0
2020-02-01,107092085.0,-202519.0
2020-02-02,107414287.0,322202.0
2020-02-03,106714942.0,-699345.0
2020-02-04,107667360.0,952418.0
2020-02-05,110469099.0,2801739.0
2020-02-06,111404177.0,935078.0
2020-02-07,112357810.0,953633.0
2020-02-08,113742950.0,1385140.0
2020-02-09,113854708.0,111758.0
2020-02-10,115593622.0,1738914.0
2020-02-11,115780846.0,187224.0
2020-02-12,116713432.0,932586.0
2020-02-13,118237905.0,1524473.0
2020-02-14,121852078.0,3614173.0
2020-02-15,123258195.0,1406117.0
2020-02-16,124417279.0,1159084.0
2020-02-17,126511838.0,2094559.0
2020-02-18,125802105.0,-709733.0
2020-02-19,121601577.0,-4200528.0
2020-02-20,119484617.0,-2116960.0
2020-02-21,119994841.0,510224.0
2020-02-22,120669546.0,674705.0
2020-02-23,119999880.0,-669666.0
2020-02-24,121265667.0,1265787.0
2020-02-25,122221848.0,956181.0
2020-02-26,124333572.0,2111724.0
2020-02-27,122816784.0,-1516788.0
2020-02-28,122762632.0,-54152.0
2020-02-29,120359117.0,-2403515.0
2020-03-01,119609006.0,-750111.0
2020-03-02,118898199.0,-710807.0
2020-03-03,117598592.0,-1299607.0
2020-03-04,118062742.0,464150.0
2020-03-05,118091309.0,28567.0
2020-03-06,117956145.0,-135164.0
2020-03-07,121583103.0,3626958.0
2020-03-08,122124690.0,541587.0
2020-03-09,120900824.0,-1223866.0
2020-03-10,120616081.0,-284743.0
2020-03-11,119504803.0,-1111278.0
2020-03-12,120666966.0,1162163.0
2020-03-13,113644743.0,-7022223.0
2020-03-14,99870494.0,-13774249.0
2020-03-15,97374034.0,-2496460.0
2020-03-16,99441932.0,2067898.0
2020-03-17,94982374.0,-4459558.0
2020-03-18,92513458.0,-2468916.0
2020-03-19,95234502.0,2721044.0
2020-03-20,82433488.0,-12801014.0
2020-03-21,85363930.0,2930442.0
2020-03-22,84357672.0,-1006258.0
2020-03-23,83248500.0,-1109172.0
2020-03-24,83487153.0,238653.0
2020-03-25,84073256.0,586103.0
2020-03-26,83080450.0,-992806.0
2020-03-27,83803875.0,723425.0
2020-03-28,82564357.0,-1239518.0
2020-03-29,83783726.0,1219369.0
2020-03-30,83645144.0,-138582.0
2020-03-31,83014573.0,-630571.0
2020-04-01,84604916.0,1590343.0
2020-04-02,85377599.0,772683.0
2020-04-03,87174649.0,1797050.0
2020-04-04,87736192.0,561543.0
2020-04-05,87798252.0,62060.0
2020-04-06,87512093.0,-286159.0
2020-04-07,87837562.0,325469.0
